iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
0,0.074227246,0.074227246,373,0.43218380430672576,0.43218380430672576,-0.019570854063568455,-0.02256513033856608,-0.019277089635812594,-6.071508494436352,-6.013394456789102,-6.0885342286914135,true,,0.2491184834123223,0.0,0.33150710900473934,0.0,0.0,0.0,0.0
1,4.491271326,4.565498572,375,0.4321838049529445,0.4321838049529445,-0.01957085508537687,-0.02256513220686132,-0.019277091248226186,-6.071508494436352,-6.0133944567891024,-6.0885342286914135,true,,0.2491184834123223,0.0,0.33150710900473934,0.0,0.0,0.0,0.0
2,0.448350773,5.013849345,376,0.43226488571237975,0.43226488571237975,-0.01936612445100766,-0.022501152202156344,-0.01903803897307571,-6.070452319891689,-6.013163136001703,-6.087519610215143,true,,0.2491184834123223,0.0,0.33150710900473934,0.0,0.0,0.0,0.0
3,0.227575298,5.241424642999999,376,0.43226488571237975,0.43226488571237975,-0.01936612445100766,-0.022501152202156344,-0.01903803897307571,-6.0704523198916895,-6.013163136001703,-6.087519610215143,true,,0.2491184834123223,0.0,0.33150710900473934,0.0,0.0,0.0,0.0
4,0.030990677,5.2724153199999995,379,0.4322994491138697,0.4322994491138697,-0.019392709975344757,-0.022556212583790175,-0.019138320411919374,-6.0704311861927,-6.0132174909405345,-6.0875907936876255,true,,0.2491184834123223,0.0,0.33150710900473934,0.0,0.0,0.0,0.0
5,0.120125798,5.392541118,381,0.43229937498026194,0.43229937498026194,-0.019394761137487893,-0.022558327855837862,-0.019140417916520103,-6.07043118543117,-6.013217781775199,-6.087590398540012,true,,0.2491184834123223,0.0,0.33150710900473934,0.0,0.0,0.0,0.0
6,0.005067386,5.397608504,383,0.432299375298379,0.432299375298379,-0.019394759785935717,-0.02255832602641933,-0.019140416973935037,-6.07043118543117,-6.013217781775199,-6.087590398540012,true,,0.2491184834123223,0.0,0.33150710900473934,0.0,0.0,0.0,0.0
7,0.01450237,5.412110874,385,0.4334576575860756,0.4334576575860756,-0.017411784752823817,-0.02016329345390827,-0.017825909914405413,-6.064613913619098,-6.005450415424672,-6.078756701055305,true,,0.2491184834123223,0.0,0.33150710900473934,0.0,0.0,0.0,0.0
8,0.032904242,5.4450151159999995,387,0.4334576575860756,0.4334576575860756,-0.017411784752823817,-0.02016329345390827,-0.017825909914405413,-6.064613913619098,-6.005450415424672,-6.078756701055305,true,,0.2491184834123223,0.0,0.33150710900473934,0.0,0.0,0.0,0.0
9,0.020051614,5.465066729999999,389,0.4334581416940982,0.4334581416940982,-0.017414498839286835,-0.020165895130711486,-0.017828844823613355,-6.06461391153845,-6.005450340645211,-6.07875679955602,true,,0.2491184834123223,0.0,0.33150710900473934,0.0,0.0,0.0,0.0
