,FNR_diff,FPR_diff,equalized_odds,demographic_parity,demographic_parity_ratio,Equal_Opportunity,accuracy,f1_score,precision,recall,FNR,FPR,name,noise,level,fold,model,label_type,eval_type
3,0.045029295215970724,0.07990280160091481,0.07990280160091481,0.07183686110546539,0.9169051233481557,0.045029295215970766,0.8849068195781282,0.9319282945736433,0.9660974384731291,0.9000935891436593,0.09990641085634067,0.22167487684729065,COMPAS,flip,0.1,x1,LR,fair,ground
4,0.004040973497845768,0.014770325308037346,0.014770325308037346,0.025940206923918185,0.9682657294932335,0.004040973497845823,0.8666803194757321,0.9201128972880108,0.9600512163892445,0.8833647502356268,0.11663524976437323,0.24413145539906103,COMPAS,flip,0.1,x1,Reduction,fair,fair_clean
5,0.018709295179311247,0.08658008658008659,0.08658008658008659,0.025940206923918185,0.9682657294932335,0.01870929517931119,0.8640180217079664,0.9189650964120087,0.9641485275288092,0.8778269993005362,0.12217300069946374,0.2356902356902357,COMPAS,flip,0.1,x1,Reduction,fair,emp_clean
6,0.0053261266237288885,0.2200263504611331,0.2200263504611331,0.025940206923918185,0.9682657294932335,0.0053261266237288885,0.8031947573213188,0.8783082183107509,0.8880921895006402,0.8687374749498998,0.1312625250501002,0.4904601571268238,COMPAS,flip,0.1,x1,Reduction,fair,noisy
7,0.016699557114806446,0.0535544120449781,0.0535544120449781,0.025940206923918185,0.9682657294932335,0.016699557114806418,0.8593078025803809,0.9160044015160778,0.9592829705505762,0.8764623303696771,0.12353766963032288,0.26108374384236455,COMPAS,flip,0.1,x1,Reduction,fair,ground
8,0.08091965521131139,0.23739495798319327,0.23739495798319327,0.07183686110546539,0.9169051233481557,0.08091965521131139,0.9000614376407946,0.9406759056649647,0.9716223003515821,0.9116399622997172,0.08836003770028275,0.17683881064162754,COMPAS,flip,0.1,x1,Reweight,fair,fair_clean
9,0.04338433211056138,0.04870129870129872,0.04870129870129872,0.07183686110546539,0.9169051233481557,0.04338433211056136,0.8892074544337497,0.934590738725668,0.9706177800100452,0.9011424574492889,0.09885754255071112,0.19696969696969696,COMPAS,flip,0.1,x1,Reweight,fair,emp_clean
10,0.05644598310324686,0.3586956521739131,0.3586956521739131,0.07183686110546539,0.9169051233481557,0.05644598310324689,0.8283841900471022,0.8949084524705292,0.8960321446509292,0.8937875751503006,0.1062124248496994,0.46464646464646464,COMPAS,flip,0.1,x1,Reweight,fair,noisy
11,0.045029295215970724,0.07990280160091481,0.07990280160091481,0.07183686110546539,0.9169051233481557,0.045029295215970766,0.8849068195781282,0.9319282945736433,0.9660974384731291,0.9000935891436593,0.09990641085634067,0.22167487684729065,COMPAS,flip,0.1,x1,Reweight,fair,ground
12,0.03762221276168351,0.5409212764860545,0.5409212764860545,0.009875245589075043,0.9887970750345857,0.03762221276168354,0.8941224656973172,0.939411695769366,0.9344835626020052,0.944392082940622,0.05560791705937795,0.4397496087636933,COMPAS,flip,0.1,x1,LR,emp,fair_clean
