,FNR_diff,FPR_diff,equalized_odds,demographic_parity,demographic_parity_ratio,Equal_Opportunity,accuracy,f1_score,precision,recall,FNR,FPR,name,noise,level,fold,model,eval_type
60,0.06487232574189096,1.0,1.0,0.14886934673366836,0.8511306532663316,0.06487232574189095,0.886545156665984,0.937934125028008,0.900990099009901,0.97803738317757,0.021962616822429906,0.7628524046434494,COMPAS,flip,0.3,x6,LR,fair_clean
61,0.1394658753709199,0.2008196721311475,0.2008196721311475,0.14886934673366836,0.8511306532663316,0.13946587537091992,0.8251075158713905,0.9031086907193103,0.8566508824795523,0.95489443378119,0.045105566218809984,0.9314685314685315,COMPAS,flip,0.3,x6,LR,emp_clean
62,0.11079545454545454,0.22388059701492535,0.22388059701492535,0.14886934673366836,0.8511306532663316,0.11079545454545459,0.7966414089698955,0.8836282667291692,0.8114507102884202,0.9698996655518395,0.030100334448160536,0.8795180722891566,COMPAS,flip,0.3,x6,LR,noisy
63,0.07276507276507277,0.8859060402684564,0.8859060402684564,0.14886934673366836,0.8511306532663316,0.07276507276507271,0.8808109768584886,0.9347533632286995,0.8973310374515713,0.9754328497894245,0.024567150210575574,0.7832512315270936,COMPAS,flip,0.3,x6,LR,ground
64,0.0028850942646958793,0.16384919428397693,0.16384919428397693,0.01412791700831717,0.985605270936727,0.0028850942646958533,0.8812205611304526,0.9359116022099447,0.8878406708595388,0.9894859813084113,0.010514018691588784,0.8872305140961857,COMPAS,flip,0.3,x6,Reduction,fair_clean
65,0.012652313908706359,0.021579478611952307,0.021579478611952307,0.01412791700831717,0.985605270936727,0.012652313908706359,0.8406717182060209,0.9129559185500112,0.8553459119496856,0.9788867562380038,0.02111324376199616,0.965034965034965,COMPAS,flip,0.3,x6,Reduction,emp_clean
66,0.012243037046551707,0.019808565866320627,0.019808565866320627,0.01412791700831717,0.985605270936727,0.012243037046551608,0.7986893303297153,0.8864502714566247,0.8044025157232705,0.9871366092101878,0.012863390789812194,0.9367469879518072,COMPAS,flip,0.3,x6,Reduction,noisy
67,0.010559754113268772,0.08044937262912166,0.08044937262912166,0.01412791700831717,0.985605270936727,0.010559754113268705,0.8754863813229572,0.9327731092436975,0.8842767295597485,0.986897519887693,0.013102480112306972,0.9064039408866995,COMPAS,flip,0.3,x6,Reduction,ground
68,0.06487232574189096,1.0,1.0,0.14886934673366836,0.8511306532663316,0.06487232574189095,0.886545156665984,0.937934125028008,0.900990099009901,0.97803738317757,0.021962616822429906,0.7628524046434494,COMPAS,flip,0.3,x6,Reweight,fair_clean
69,0.1394658753709199,0.2008196721311475,0.2008196721311475,0.14886934673366836,0.8511306532663316,0.13946587537091992,0.8251075158713905,0.9031086907193103,0.8566508824795523,0.95489443378119,0.045105566218809984,0.9314685314685315,COMPAS,flip,0.3,x6,Reweight,emp_clean
70,0.11079545454545454,0.22388059701492535,0.22388059701492535,0.14886934673366836,0.8511306532663316,0.11079545454545459,0.7966414089698955,0.8836282667291692,0.8114507102884202,0.9698996655518395,0.030100334448160536,0.8795180722891566,COMPAS,flip,0.3,x6,Reweight,noisy
71,0.07276507276507277,0.8859060402684564,0.8859060402684564,0.14886934673366836,0.8511306532663316,0.07276507276507271,0.8808109768584886,0.9347533632286995,0.8973310374515713,0.9754328497894245,0.024567150210575574,0.7832512315270936,COMPAS,flip,0.3,x6,Reweight,ground
72,0.08967971530249111,0.992,0.992,0.1633986928104575,0.8366013071895425,0.08967971530249108,0.8806306306306306,0.934765581291261,0.9013810962451446,0.9707181036486172,0.029281896351382758,0.7865748709122203,COMPAS,flip,0.3,x7,LR,fair_clean
73,0.16101694915254236,0.17672413793103448,0.17672413793103448,0.1633986928104575,0.8366013071895425,0.1610169491525424,0.808968058968059,0.8934079744087742,0.843763487268019,0.9492595290118961,0.05074047098810391,0.9464052287581699,COMPAS,flip,0.3,x7,LR,emp_clean
74,0.12121212121212122,0.24852071005917165,0.24852071005917165,0.1633986928104575,0.8366013071895425,0.12121212121212122,0.803030303030303,0.8875379939209728,0.8191627104013811,0.9683673469387755,0.03163265306122449,0.8692946058091287,COMPAS,flip,0.3,x7,LR,noisy
75,0.08127721335268505,0.9078947368421053,0.9078947368421053,0.1633986928104575,0.8366013071895425,0.08127721335268501,0.8806306306306306,0.9345605567403749,0.8983599482088908,0.9738011695906432,0.026198830409356725,0.7733990147783252,COMPAS,flip,0.3,x7,LR,ground
76,0.007786692994800686,0.1357543859649123,0.1357543859649123,0.01616682451155771,0.9835835514950758,0.007786692994800726,0.8791973791973792,0.9350792253521127,0.8879832810867294,0.9874506158494074,0.01254938415059261,0.9225473321858864,COMPAS,flip,0.3,x7,Reduction,fair_clean
77,0.01652857803759936,0.013489034094585017,0.01652857803759933,0.01616682451155771,0.9835835514950758,0.01652857803759933,0.8255528255528255,0.9043126684636118,0.8413793103448276,0.9774217042971595,0.022578295702840496,0.9921568627450981,COMPAS,flip,0.3,x7,Reduction,emp_clean
78,0.012472537910421373,0.0011696209306039096,0.012472537910421355,0.01616682451155771,0.9835835514950758,0.012472537910421355,0.8015970515970516,0.8886846639862148,0.8083594566353187,0.986734693877551,0.013265306122448979,0.9512448132780082,COMPAS,flip,0.3,x7,Reduction,noisy
79,0.0066805007732838075,0.11633364044685013,0.11633364044685013,0.01616682451155771,0.9835835514950758,0.0066805007732838595,0.8742833742833743,0.9322295805739513,0.8825496342737722,0.9878362573099415,0.012163742690058479,0.922824302134647,COMPAS,flip,0.3,x7,Reduction,ground
80,0.01798074018405134,0.22884210526315787,0.22884210526315787,0.03338127141136715,0.9600989490161002,0.01798074018405138,0.888001638001638,0.9339132535942976,0.9725717161550076,0.8982105507785266,0.10178944922147339,0.18760757314974183,COMPAS,flip,0.3,x7,Reweight,fair_clean
81,0.03111350104242397,0.044664229798796695,0.044664229798796695,0.03338127141136715,0.9600989490161002,0.03111350104242394,0.7221539721539721,0.8323242308167552,0.8475088072471062,0.8176741927652342,0.1823258072347657,0.792156862745098,COMPAS,flip,0.3,x7,Reweight,emp_clean
82,0.013514502986370441,0.5129672549298874,0.5129672549298874,0.03338127141136715,0.9600989490161002,0.013514502986370469,0.8104013104013104,0.8826957182670382,0.8766985405133367,0.8887755102040816,0.11122448979591837,0.508298755186722,COMPAS,flip,0.3,x7,Reweight,noisy
