,metric,model,ground,noisy,fair_clean,emp_clean
54,accuracy,LR_noisy,0.879714911232421,0.829831635202309,0.8670801421569392,0.8840152190244346
55,accuracy,Reweight_noisy,0.8752918036350351,0.8258178770619893,0.8626570345595536,0.8801652945929005
56,accuracy,Reduction_noisy,0.875906104566764,0.8256131436297318,0.8640495372217674,0.8799605611606431
57,accuracy,LR_fair,0.8805841377222215,0.8309747192013269,0.8708090539363376,0.8853801084256908
58,accuracy,Reweight_fair,0.8818773564966049,0.8325481886736291,0.872188496564689,0.886953577897993
59,accuracy,Reduction_fair,0.8777388013001366,0.827935395659616,0.8660235285233938,0.8823407848839798
60,accuracy,LR_emp,0.8806159588926331,0.831080703699995,0.8715651402524227,0.8854281212309065
61,accuracy,Reweight_emp,0.8819366731894892,0.8327290938006685,0.8729677672105483,0.8870765113315798
62,accuracy,Reduction_emp,0.8776568991216749,0.8280192730197851,0.8667219425129522,0.8823666905506963
63,Equal_Opportunity,LR_noisy,0.14958167529129773,0.16384800511309172,0.1495126318506887,0.14883354602687424
64,Equal_Opportunity,Reweight_noisy,0.0,0.0,0.0,0.0
65,Equal_Opportunity,Reduction_noisy,0.012056863763147182,0.015058050017683882,0.012823126771148972,0.01255639073864343
66,Equal_Opportunity,LR_fair,0.028176333149257077,0.02613029375501207,0.03478708151916269,0.028301069036105898
67,Equal_Opportunity,Reweight_fair,0.035743935609791944,0.043390964052963304,0.03676119751514184,0.03489041749726928
68,Equal_Opportunity,Reduction_fair,0.012374911349381477,0.014799408253739377,0.013458292321653468,0.012752253333766173
69,Equal_Opportunity,LR_emp,0.02687091819686724,0.024927068551538596,0.03314188021663073,0.02707751366468541
70,Equal_Opportunity,Reweight_emp,0.03628671246603895,0.04394444492379586,0.037451190081786254,0.03531970838791519
71,Equal_Opportunity,Reduction_emp,0.012902393558152484,0.01544252133673996,0.014058830150696783,0.013095900637125037
72,equalized_odds,LR_noisy,0.9523294749758178,0.6275307606523259,0.9549656437777401,1.0
73,equalized_odds,Reweight_noisy,0.0,0.0,0.0,0.0
74,equalized_odds,Reduction_noisy,0.053671283840056185,0.02405596193097926,0.07184873935940157,0.057017363572975245
75,equalized_odds,LR_fair,0.4531960231081072,0.5668906074643649,0.26471405117538793,0.4367282090201523
76,equalized_odds,Reweight_fair,0.18704641868512834,0.3945159351052209,0.229954220408833,0.16151413584011112
77,equalized_odds,Reduction_fair,0.11774268242602248,0.2465974574578221,0.08218680630807303,0.1059756653106294
78,equalized_odds,LR_emp,0.4501397077914818,0.5644634560085255,0.2762141248333137,0.43330959645753075
79,equalized_odds,Reweight_emp,0.1840731827181922,0.3930009645607861,0.2302215875480015,0.15765562361824131
80,equalized_odds,Reduction_emp,0.11327602760755359,0.24431886663621305,0.08296165053795132,0.10165814201514509
