,FNR_diff,FPR_diff,equalized_odds,demographic_parity,demographic_parity_ratio,Equal_Opportunity,accuracy,f1_score,precision,recall,FNR,FPR,name,noise,level,fold,weights,eval_type
0,0.07707722385141746,0.09600452568994587,0.09600452568994587,0.0016073372635211358,0.9920526101970344,0.07707722385141741,0.7834766584766585,0.5100764419735927,0.5603053435114503,0.46811224489795916,0.5318877551020408,0.11650485436893204,adult,balanced,0.3,x1,fair,ground
1,0.2781939759749098,0.03914285180968026,0.2781939759749098,0.06946827342047932,0.6230350050798928,0.2781939759749098,0.7957616707616708,0.4919786096256684,0.6133333333333333,0.4107142857142857,0.5892857142857143,0.08211974110032362,adult,balanced,0.3,x2,fair,ground
2,0.1314336287598319,0.02819116926737107,0.131433628759832,0.1019739108094373,0.3283682600557002,0.131433628759832,0.816953316953317,0.49146757679180897,0.7422680412371134,0.3673469387755102,0.6326530612244898,0.040453074433656956,adult,balanced,0.3,x3,fair,ground
3,0.20070600100857283,0.06839856399433046,0.2007060010085729,0.044100626361655765,0.8114676562613694,0.2007060010085729,0.7819410319410319,0.5260347129506008,0.5518207282913166,0.5025510204081632,0.49744897959183676,0.12944983818770225,adult,balanced,0.3,x4,fair,ground
4,0.3081134626454091,0.0680418011708705,0.3081134626454091,0.05967404948740801,0.7589658262308986,0.3081134626454091,0.7718058968058968,0.5127868852459017,0.5276653171390013,0.4987244897959184,0.5012755102040817,0.14158576051779936,adult,balanced,0.3,x5,fair,ground
5,0.031100478468899517,0.015847694328832755,0.031100478468899517,0.06834737125495173,0.5847897196261682,0.031100478468899517,0.7942892232115444,0.4631410256410256,0.6241900647948164,0.3681528662420382,0.6318471337579618,0.0703883495145631,adult,balanced,0.3,x6,fair,ground
6,0.15991219182708538,0.06471722781876091,0.15991219182708544,0.03277250802003279,0.8174103124598173,0.15991219182708544,0.7893120393120393,0.484984984984985,0.5894160583941606,0.4119897959183674,0.5880102040816326,0.09101941747572816,adult,balanced,0.3,x7,fair,ground
7,0.21433677779944105,0.08066666666666666,0.21433677779944105,0.03822321980334248,0.8258273870725844,0.21433677779944105,0.7871621621621622,0.5243651338366506,0.5676077265973254,0.4872448979591837,0.5127551020408163,0.11771844660194175,adult,balanced,0.3,x8,fair,ground
8,0.20994044637390769,0.02718253968253967,0.2099404463739078,0.0784282985084856,0.7290883695053889,0.2099404463739078,0.7509213759213759,0.506390748630554,0.4842840512223516,0.5306122448979592,0.46938775510204084,0.17920711974110032,adult,balanced,0.3,x9,fair,ground
9,0.13563528459670893,0.03815218101364616,0.13563528459670893,0.05021592399475386,0.7787455954897815,0.13563528459670893,0.7625921375921376,0.47379169503063306,0.5080291970802919,0.44387755102040816,0.5561224489795918,0.13632686084142395,adult,balanced,0.3,x10,fair,ground
