,FNR_diff,FPR_diff,equalized_odds,demographic_parity,demographic_parity_ratio,Equal_Opportunity,accuracy,f1_score,precision,recall,FNR,FPR,name,noise,level,fold,weights,eval_type
0,0.015948137323496037,0.04802401088969721,0.04802401088969721,0.009720905605483277,0.9788190049574363,0.015948137323496092,0.6824244902131139,0.632829118411723,0.6023622047244095,0.6665421956684092,0.3334578043315907,0.30651174889447674,income,balanced,0.3,x1,fair,ground
1,0.015175100995956037,0.003332285937779872,0.015175100995955981,0.06479689211265666,0.849134656848111,0.015175100995955981,0.74155465835335,0.6806844730693945,0.6907599641163655,0.6708986806074184,0.3291013193925815,0.20922570016474465,income,balanced,0.3,x1,emp,ground
2,0.023355449291913855,0.04687345704172191,0.04687345704172191,0.011813087409829226,0.9760645941365992,0.0233554492919138,0.6979965245834611,0.6638985268187247,0.6112274821952242,0.726503174405577,0.273496825594423,0.32185901326627936,income,balanced,0.3,x2,fair,ground
3,0.01644388852417411,0.013963570956514681,0.01644388852417411,0.07132929967153584,0.8372216730048031,0.01644388852417411,0.7446079934580394,0.6867281048210144,0.6917150795655469,0.6818125233412174,0.3181874766587825,0.21165351599757218,income,balanced,0.3,x2,emp,ground
4,0.02024487472990716,0.050640265864406786,0.050640265864406786,0.0030359851031060425,0.9932235868872826,0.020244874729907214,0.6915567821731575,0.6401526444457695,0.614328221560998,0.6682434955807295,0.3317565044192705,0.2922049770224573,income,balanced,0.3,x3,fair,ground
5,0.026361985332050197,0.008160121326590442,0.026361985332050253,0.06616456869529536,0.8444275113965327,0.026361985332050253,0.7448635387917817,0.6829268292682927,0.6971858384126572,0.6692393875264534,0.3307606124735466,0.20246249891615364,income,balanced,0.3,x3,emp,ground
6,0.030633585191365775,0.05088059552852647,0.05088059552852647,0.0016445336896317997,0.9967074403677275,0.03063358519136583,0.6933612715285941,0.6627697841726619,0.6042221766755482,0.733881005725666,0.26611899427433405,0.33486516951356976,income,balanced,0.3,x4,fair,ground
7,0.015261360651431577,0.01355011763391159,0.015261360651431577,0.06539707223051328,0.8492145317690856,0.015261360651431577,0.7433944907241785,0.684590740624411,0.6910589727330374,0.6782424695046054,0.3217575304953946,0.21121997745599583,income,balanced,0.3,x4,emp,ground
8,0.031064365891189827,0.06626914577344506,0.06626914577344506,0.005951430723506346,0.9880178032047058,0.031064365891189882,0.6932590586191036,0.6607506217499435,0.6051977635121143,0.7275329848145382,0.2724670151854618,0.33061649180612157,income,balanced,0.3,x5,fair,ground
9,0.0124634596442183,0.008283484876863534,0.012463459644218355,0.05335284079198255,0.8761412890556091,0.012463459644218355,0.7422701487197834,0.6840819394850592,0.6886114264093833,0.6796116504854369,0.32038834951456313,0.21408133183039973,income,balanced,0.3,x5,emp,ground
10,0.020231528159210255,0.057378470768994716,0.057378470768994716,0.0036820962474302665,0.9926625710203274,0.020231528159210255,0.6862925482980681,0.6555168930295208,0.5968318855390904,0.7270011203784389,0.27299887962156105,0.3420619093037371,income,balanced,0.3,x6,fair,ground
11,0.022677923585105342,0.00944317025455868,0.022677923585105342,0.07041869781900972,0.8399602980195368,0.022677923585105342,0.7450679750587754,0.6882110263782972,0.6911487758945386,0.6852981451512511,0.3147018548487489,0.2133009624555623,income,balanced,0.3,x6,emp,ground
12,0.029699763486539854,0.05151881383305662,0.05151881383305662,0.004559945607010674,0.9907378327920001,0.0296997634865398,0.6865992026985587,0.6520653654108034,0.5991033260348243,0.7152993900161833,0.28470060998381674,0.3333911384722102,income,balanced,0.3,x7,fair,ground
13,0.027897666500956597,0.0014736010728663707,0.027897666500956597,0.06897175845483616,0.8394614891473579,0.027897666500956597,0.7444546662577941,0.6837044534412957,0.695048231511254,0.672725009336487,0.327274990663513,0.20558397641550333,income,balanced,0.3,x7,emp,ground
14,0.026057789268416898,0.04231804164489705,0.04231804164489705,0.012092682719230197,0.9735107744621049,0.026057789268416842,0.6869218582306945,0.6365254538981844,0.6081632653061224,0.6676624346527259,0.3323375653472741,0.29966183993757045,income,balanced,0.3,x8,fair,ground
15,0.017122995310901723,0.01011325622746262,0.01712299531090178,0.07242404560321603,0.8329327459049519,0.01712299531090178,0.7430367455409618,0.6826158313344274,0.6924948770491803,0.6730146875777944,0.32698531242220563,0.2081852076649614,income,balanced,0.3,x8,emp,ground
16,0.026933673312332596,0.054512873552949426,0.054512873552949426,0.0024262781338016404,0.9949031741888871,0.02693367331233265,0.6998006848264936,0.6609719496710146,0.6162290142057684,0.7127209360219069,0.2872790639780931,0.30919968785225005,income,balanced,0.3,x9,fair,ground
17,0.008211570230973686,0.009947667366496799,0.009947667366496799,0.061451758666584144,0.856458443333526,0.00821157023097363,0.7438544488168856,0.6835459022603865,0.6936186570989237,0.6737615135673388,0.3262384864326612,0.20731813058180873,income,balanced,0.3,x9,emp,ground
18,0.027113164442043647,0.06792612528649278,0.06792612528649278,0.009534090325465316,0.9812709363394331,0.027113164442043702,0.6870080752325463,0.6577623784508775,0.5967954568502181,0.7326030125731359,0.2673969874268642,0.34474984826151045,income,balanced,0.3,x10,fair,ground
19,0.004937718193589458,7.027266032968993e-05,0.004937718193589458,0.053319947251233346,0.8753550333816716,0.004937718193589458,0.7504855361341102,0.6932260902350131,0.6999111787844182,0.6866674965766214,0.31333250342337854,0.20506373016561172,income,balanced,0.3,x10,emp,ground
