,est_acc,est_eop
44,0.8534130311556043,"event    group_id
label=0  0           0.011682
         1           0.011682
label=1  0           0.064118
         1           0.064118
dtype: float64"
45,0.7640436192864155,"event    group_id
label=0  0           0.028467
         1           0.022016
label=1  0           0.063828
         1           0.186085
dtype: float64"
46,0.8287141141944567,"event    group_id
label=0  0           0.125821
         1           0.125821
label=1  0           0.690559
         1           0.690559
dtype: float64"
47,0.8187576997428283,"event    group_id
label=0  0           0.175760
         1           0.135930
label=1  0           0.394081
         1           1.148905
dtype: float64"
48,0.8005081961578703,"event    group_id
label=0  0          NaN
         1          NaN
label=1  0          NaN
         1          NaN
dtype: float64"
49,0.8127805291021375,"event    group_id
label=0  0          NaN
         1          NaN
label=1  0          NaN
         1          NaN
dtype: float64"
50,0.8511481803391949,"event    group_id
label=0  0           0.019436
         1           0.019436
label=1  0           0.094110
         1           0.094110
dtype: float64"
51,0.7675876204889268,"event    group_id
label=0  0           0.027247
         1           0.020889
label=1  0           0.060764
         1           0.189183
dtype: float64"
52,0.8476869252839583,"event    group_id
label=0  0           0.111851
         1           0.111851
label=1  0           0.541576
         1           0.541576
dtype: float64"
53,0.8250685682233034,"event    group_id
label=0  0           0.139508
         1           0.106953
label=1  0           0.311115
         1           0.968629
dtype: float64"
54,0.783566517115558,"event    group_id
label=0  0          NaN
         1          NaN
label=1  0          NaN
         1          NaN
dtype: float64"
55,0.8108155486369035,"event    group_id
label=0  0          NaN
         1          NaN
label=1  0          NaN
         1          NaN
dtype: float64"
56,0.8519673052419181,"event    group_id
label=0  0           0.014521
         1           0.014521
label=1  0           0.078070
         1           0.078070
dtype: float64"
57,0.7592571784844493,"event    group_id
label=0  0           0.025028
         1           0.019265
label=1  0           0.055961
         1           0.169007
dtype: float64"
58,0.8195365059224206,"event    group_id
label=0  0           0.110377
         1           0.110377
label=1  0           0.593414
         1           0.593414
dtype: float64"
59,0.823565107403892,"event    group_id
label=0  0           0.145880
         1           0.112288
label=1  0           0.326174
         1           0.985076
dtype: float64"
