,noise,level,metric,eval_type,LR,Reduction,Reweight
0,bias,0.3,accuracy,fair_clean,0.0020681489860273185,0.011365024287408088,0.02725560255767099
1,bias,0.3,accuracy,emp_clean,0.007720051330536692,0.003993052498069938,0.007720051330536703
2,bias,0.3,accuracy,noisy,0.007720051330536692,0.003993052498069938,0.007720051330536703
3,bias,0.3,Equal_Opportunity,fair_clean,0.017639881922870932,0.01227679137840556,0.0
4,bias,0.3,Equal_Opportunity,emp_clean,0.0,-0.00569026069632766,0.0
5,bias,0.3,Equal_Opportunity,noisy,0.0,-0.00569026069632766,0.0
6,bias,0.3,equalized_odds,fair_clean,-0.005051399887875568,0.001080246132779949,0.0
7,bias,0.3,equalized_odds,emp_clean,0.0,0.00907565739198913,0.0
8,bias,0.3,equalized_odds,noisy,0.0,0.00907565739198913,0.0
9,balanced,0.3,accuracy,fair_clean,-0.02916010652545571,-0.02375406376532734,0.025474074506431667
10,balanced,0.3,accuracy,emp_clean,0.03843625941209394,0.031269088144984115,-0.013044240133119866
11,balanced,0.3,accuracy,noisy,-0.11706982288079977,-0.12415507729351678,-0.16867318932135636
12,balanced,0.3,Equal_Opportunity,fair_clean,0.037582444937807116,0.0454194876514973,0.0
13,balanced,0.3,Equal_Opportunity,emp_clean,-0.04017842332650101,-0.008458567906814951,0.0
14,balanced,0.3,Equal_Opportunity,noisy,0.0015910632710060574,-0.006955411972491729,0.0
15,balanced,0.3,equalized_odds,fair_clean,0.0028561752456231935,-0.03352529498685333,0.0
16,balanced,0.3,equalized_odds,emp_clean,0.04723894068599155,0.04752856203275109,0.0
17,balanced,0.3,equalized_odds,noisy,-0.5220666332688063,-0.45988943202556654,0.0
18,flip,0.1,accuracy,fair_clean,-0.012634769075481755,-0.011856567344996594,-0.012634769075481712
19,flip,0.1,accuracy,emp_clean,0.004300307792013713,0.004054456593879064,0.004873490957865356
20,flip,0.1,accuracy,noisy,-0.049883276030111987,-0.05029296093703221,-0.049473926573045945
21,flip,0.1,Equal_Opportunity,fair_clean,-6.904344060905121e-05,0.00076626300800179,0.0
22,flip,0.1,Equal_Opportunity,emp_clean,-0.0007481292644235165,0.0004995269754962501,0.0
23,flip,0.1,Equal_Opportunity,noisy,0.01426632982179398,0.0030011862545367,0.0
24,flip,0.1,equalized_odds,fair_clean,0.0026361688019224338,0.01817745551934538,0.0
25,flip,0.1,equalized_odds,emp_clean,0.04767052502418234,0.0033460797329190593,0.0
26,flip,0.1,equalized_odds,noisy,-0.32479871432349167,-0.029615321909076925,0.0
27,flip,0.3,accuracy,fair_clean,0.0021909445982761233,0.0022319533429506653,0.002190944598276179
28,flip,0.3,accuracy,emp_clean,0.00288749364112868,0.006245346681553921,0.006204405026850257
29,flip,0.3,accuracy,noisy,-0.1485233958662179,-0.1454522434299211,-0.14553414351182112
30,flip,0.3,Equal_Opportunity,fair_clean,-6.36117658214308e-05,0.00010087927336777016,0.0
31,flip,0.3,Equal_Opportunity,emp_clean,0.0012106254780894026,-0.00019721375974237986,0.0
32,flip,0.3,Equal_Opportunity,noisy,0.05325979310436799,0.00511958494418397,0.0
33,flip,0.3,equalized_odds,fair_clean,0.0024332843027134233,-0.00534359863135596,0.0
34,flip,0.3,equalized_odds,emp_clean,0.04723894068599155,0.00895056747109079,0.0
35,flip,0.3,equalized_odds,noisy,-0.5798748718047261,-0.0247055734314303,0.0
