,metric,model,ground,noisy,fair_clean,emp_clean
27,accuracy,LR_noisy,0.8796329943780282,0.7625631714972284,0.8504728878525725,0.918069253790122
28,accuracy,Reweight_noisy,0.8752918036350351,0.7066186143136789,0.9007658781414669,0.8622475635019153
29,accuracy,Reduction_noisy,0.8568208905757544,0.7326658132822376,0.8330668268104271,0.8880899787207385
30,accuracy,LR_fair,0.8783208531421991,0.7264968405876174,0.8851970984611618,0.8821897861045496
31,accuracy,Reweight_fair,0.8779651968481096,0.7103845176050573,0.9007490303932311,0.8661205728420662
32,accuracy,Reduction_fair,0.8784932809879726,0.7245784889408848,0.8873956081157219,0.8803361012448395
33,accuracy,LR_emp,0.878291765226027,0.7284169299528711,0.8831653819775876,0.8839025372252897
34,accuracy,Reweight_emp,0.8778310164650529,0.7102636124292893,0.9008272864303993,0.8658106531493793
35,accuracy,Reduction_emp,0.8789163539854714,0.7259289214465336,0.8868206259896819,0.8814759621666237
36,Equal_Opportunity,LR_noisy,0.14979181825236618,0.15138288152337223,0.1873742631901733,0.10961339492586517
37,Equal_Opportunity,Reweight_noisy,0.0,0.0,0.0,0.0
38,Equal_Opportunity,Reduction_noisy,0.028698094479558945,0.02174268250706721,0.07411758213105625,0.02023952657274399
39,Equal_Opportunity,LR_fair,0.11321220719506227,0.12527270434088092,0.11907350679393869,0.10553893048692439
40,Equal_Opportunity,Reweight_fair,0.01785742082600048,0.02885128309404491,0.005995923126424263,0.035799133238411565
41,Equal_Opportunity,Reduction_fair,0.0243024963206194,0.015166538482545943,0.05036450626627477,0.005115640212319284
42,Equal_Opportunity,LR_emp,0.11514497245194058,0.12653052293504333,0.12278861700124744,0.10575426904707488
43,Equal_Opportunity,Reweight_emp,0.016964549784700456,0.027408718939342665,0.005696126970103049,0.03400917657649098
44,Equal_Opportunity,Reduction_emp,0.026176589459874916,0.016380778861072993,0.05393526212197571,0.005028946107018069
45,equalized_odds,LR_noisy,0.9527610593140083,0.43069442604520214,0.9556172345596317,1.0
46,equalized_odds,Reweight_noisy,0.0,0.0,0.0,0.0
47,equalized_odds,Reduction_noisy,0.5130660353164856,0.05317660329091907,0.47954074032963234,0.5605945973492368
48,equalized_odds,LR_fair,0.9150930647518138,0.6692984407418962,0.9782984577889574,0.9412872636798638
49,equalized_odds,Reweight_fair,0.2973505827299628,0.39100934924847686,0.35960358568986023,0.2943875323398785
50,equalized_odds,Reduction_fair,0.031171617887789934,0.23928448972957417,0.06947292538142827,0.017805208322823562
51,equalized_odds,LR_emp,0.9175954921242451,0.6577180171850445,0.9774354829514577,0.9442229004958707
52,equalized_odds,Reweight_emp,0.28248305359346465,0.371458881786053,0.3416234064053672,0.2796681557228846
53,equalized_odds,Reduction_emp,0.03270225494868693,0.2530953412309374,0.07297979859287633,0.017869076347049352
