,est_acc,est_eop,name,noise,level,fold,model,eval_type
0,0.7957227704387806,0.40471694730259244,adult,bias,0.1,x2,LR,fair
1,0.8308353898316783,0.13326699846105028,adult,bias,0.1,x2,LR,emp
2,0.782855505942848,0.18854098084909804,adult,bias,0.1,x2,Reduction,fair
3,0.8061694180890934,0.1484912110689161,adult,bias,0.1,x2,Reduction,emp
4,0.8045184625739737,0.32968570502637196,adult,bias,0.1,x2,Reweight,fair
5,0.8285370687833571,0.024068995382578673,adult,bias,0.1,x2,Reweight,emp
6,0.7995767035146243,0.3843195151811902,adult,bias,0.1,x3,LR,fair
7,0.8316593307746938,0.08268852191355863,adult,bias,0.1,x3,LR,emp
8,0.7981845396442259,0.1703103763436341,adult,bias,0.1,x3,Reduction,fair
9,0.8250551616705247,0.2028212214223601,adult,bias,0.1,x3,Reduction,emp
10,0.806711067395916,0.2813919479690158,adult,bias,0.1,x3,Reweight,fair
11,0.8310894427048057,0.10811877591777563,adult,bias,0.1,x3,Reweight,emp
12,0.8065674546863408,0.38285192191750195,adult,bias,0.1,x4,LR,fair
13,0.8349118972471841,0.049710479332751904,adult,bias,0.1,x4,LR,emp
14,0.7955969629203568,0.1588354227023891,adult,bias,0.1,x4,Reduction,fair
15,0.8098956878559749,0.27567116102777506,adult,bias,0.1,x4,Reduction,emp
16,0.8118136817784699,0.2800199431705112,adult,bias,0.1,x4,Reweight,fair
17,0.8265652795255662,0.15039575093630653,adult,bias,0.1,x4,Reweight,emp
18,0.7954315304606687,0.396879493462587,adult,bias,0.1,x5,LR,fair
19,0.8254063984996645,0.060269809570706864,adult,bias,0.1,x5,LR,emp
20,0.7761611363375833,0.20747589937822217,adult,bias,0.1,x5,Reduction,fair
21,0.7954107372540032,0.21341330102180966,adult,bias,0.1,x5,Reduction,emp
22,0.7994096263921314,0.28619703854870593,adult,bias,0.1,x5,Reweight,fair
23,0.8199885618318279,0.18280620804473147,adult,bias,0.1,x5,Reweight,emp
24,0.8038331025532957,0.4579824120156408,adult,bias,0.1,x6,LR,fair
25,0.8368972668462455,0.13844125656514056,adult,bias,0.1,x6,LR,emp
26,0.7890563658195232,0.2907855284457852,adult,bias,0.1,x6,Reduction,fair
27,0.8129564019934984,0.0694790295367676,adult,bias,0.1,x6,Reduction,emp
28,0.8069222855677457,0.382253754775452,adult,bias,0.1,x6,Reweight,fair
29,0.8295792070872892,0.005213234005972012,adult,bias,0.1,x6,Reweight,emp
30,0.7987836316333101,0.39153713817468494,adult,bias,0.1,x7,LR,fair
31,0.8283979849476678,0.06653226439634191,adult,bias,0.1,x7,LR,emp
32,0.7855315343995625,0.17101353732866398,adult,bias,0.1,x7,Reduction,fair
33,0.8046481799478628,0.2601797682021298,adult,bias,0.1,x7,Reduction,emp
34,0.8045187212930607,0.29042594036121366,adult,bias,0.1,x7,Reweight,fair
35,0.8214718217715046,0.17165862294339584,adult,bias,0.1,x7,Reweight,emp
36,0.79969604009787,0.43490886148380303,adult,bias,0.1,x8,LR,fair
37,0.8343626301136142,0.10349240142688038,adult,bias,0.1,x8,LR,emp
38,0.7833260323848009,0.21898885589024622,adult,bias,0.1,x8,Reduction,fair
39,0.8090826835794234,0.13440345790879438,adult,bias,0.1,x8,Reduction,emp
40,0.8049663248763382,0.339387964739582,adult,bias,0.1,x8,Reweight,fair
41,0.8217879206639048,0.06850276610786599,adult,bias,0.1,x8,Reweight,emp
42,0.7967191569629919,0.38893102643033006,adult,bias,0.1,x9,LR,fair
43,0.8258058674193748,0.08427892536637496,adult,bias,0.1,x9,LR,emp
44,0.7814672167546031,0.16425656041099207,adult,bias,0.1,x9,Reduction,fair
45,0.8026545911430986,0.27259027379188083,adult,bias,0.1,x9,Reduction,emp
46,0.7968812911970405,0.29650218117066396,adult,bias,0.1,x9,Reweight,fair
47,0.8156425791310866,0.16426297003128265,adult,bias,0.1,x9,Reweight,emp
48,0.7922591555408359,0.394191257484,adult,bias,0.1,x10,LR,fair
49,0.8231196279686087,0.06614202231841504,adult,bias,0.1,x10,LR,emp
50,0.7741416874832269,0.19005763789069624,adult,bias,0.1,x10,Reduction,fair
51,0.793116410465391,0.238236961767412,adult,bias,0.1,x10,Reduction,emp
52,0.7979447722785207,0.3185298170395069,adult,bias,0.1,x10,Reweight,fair
53,0.8168512248252053,0.13022348126505912,adult,bias,0.1,x10,Reweight,emp
