,FNR_diff,FPR_diff,equalized_odds,demographic_parity,demographic_parity_ratio,Equal_Opportunity,accuracy,f1_score,precision,recall,FNR,FPR,name,noise,level,fold,model,label_type,eval_type
0,0.058286053569072405,0.07202728969099287,0.07202728969099287,0.03295865853469976,0.9265213269106163,0.05828605356907246,0.767056779271222,0.7365013296334837,0.7519773344351316,0.7216494845360825,0.27835051546391754,0.19562383612662942,income,balanced,0.1,x1,LR,fair,fair_clean
1,0.04301303088623132,0.05877151558492799,0.05877151558492799,0.03295865853469976,0.9265213269106163,0.04301303088623132,0.7165124955281852,0.6652181785261633,0.6505725416125605,0.6805384045443319,0.31946159545566805,0.25808701717673727,income,balanced,0.1,x1,LR,fair,emp_clean
2,0.06328331739060611,0.051339820535049985,0.06328331739060611,0.03295865853469976,0.9265213269106163,0.06328331739060611,0.7084376756784382,0.6589346565433132,0.6505725416125605,0.6675145348837209,0.3324854651162791,0.261692158076209,income,balanced,0.1,x1,LR,fair,noisy
3,0.0178152319160656,0.027462500324169914,0.027462500324169914,0.03295865853469976,0.9265213269106163,0.0178152319160656,0.7328665610466601,0.683308088458043,0.6656829181914768,0.7018919591735125,0.29810804082648745,0.24555622994884246,income,balanced,0.1,x1,LR,fair,ground
4,0.015182930277269913,0.01921886811721779,0.01921886811721779,0.017591860809059223,0.9623151874300524,0.015182930277269802,0.6890683293299944,0.6581638386335543,0.6528815070783636,0.663532343944715,0.33646765605528495,0.2899441340782123,income,balanced,0.1,x1,Reduction,fair,fair_clean
5,0.009256600804662451,0.0682517816630499,0.0682517816630499,0.017591860809059223,0.9623151874300524,0.009256600804662396,0.6563090918382992,0.606010896947683,0.576524356259057,0.6386762163497159,0.361323783650284,0.33124073589676517,income,balanced,0.1,x1,Reduction,fair,emp_clean
6,0.023206171658563424,0.06449155320363892,0.06449155320363892,0.017591860809059223,0.9623151874300524,0.023206171658563313,0.6511984463637758,0.6038195855343357,0.5797569947608963,0.6299660852713178,0.3700339147286822,0.3333038634957121,income,balanced,0.1,x1,Reduction,fair,noisy
7,0.0072345555506178605,0.044063257464502625,0.044063257464502625,0.017591860809059223,0.9623151874300524,0.007234555550617805,0.6674502989727603,0.6173478388709203,0.585107568832906,0.6533482698531242,0.3466517301468758,0.32272609034943206,income,balanced,0.1,x1,Reduction,fair,ground
8,0.058286053569072405,0.07202728969099287,0.07202728969099287,0.03295865853469976,0.9265213269106163,0.05828605356907246,0.767056779271222,0.7365013296334837,0.7519773344351316,0.7216494845360825,0.27835051546391754,0.19562383612662942,income,balanced,0.1,x1,Reweight,fair,fair_clean
9,0.04301303088623132,0.05877151558492799,0.05877151558492799,0.03295865853469976,0.9265213269106163,0.04301303088623132,0.7165124955281852,0.6652181785261633,0.6505725416125605,0.6805384045443319,0.31946159545566805,0.25808701717673727,income,balanced,0.1,x1,Reweight,fair,emp_clean
10,0.06328331739060611,0.051339820535049985,0.06328331739060611,0.03295865853469976,0.9265213269106163,0.06328331739060611,0.7084376756784382,0.6589346565433132,0.6505725416125605,0.6675145348837209,0.3324854651162791,0.261692158076209,income,balanced,0.1,x1,Reweight,fair,noisy
11,0.0178152319160656,0.027462500324169914,0.027462500324169914,0.03295865853469976,0.9265213269106163,0.0178152319160656,0.7328665610466601,0.683308088458043,0.6656829181914768,0.7018919591735125,0.29810804082648745,0.24555622994884246,income,balanced,0.1,x1,Reweight,fair,ground
12,0.11361280229204757,0.28273522428187503,0.28273522428187503,0.2265591867429681,0.5477166652236888,0.11361280229204762,0.7787601574078806,0.7380649845707025,0.792077922077922,0.6909482270307012,0.30905177296929875,0.14906890130353817,income,balanced,0.1,x1,LR,emp,fair_clean
13,0.15787185274240945,0.13294664874728743,0.15787185274240945,0.2265591867429681,0.5477166652236888,0.15787185274240945,0.7382327387949098,0.6757817445246234,0.6932467532467532,0.6591751049641887,0.3408248950358113,0.20594646438224778,income,balanced,0.1,x1,LR,emp,emp_clean
14,0.13622071251189882,0.14212309773586873,0.14212309773586873,0.2265591867429681,0.5477166652236888,0.13622071251189882,0.7301579189451628,0.669089997493106,0.6932467532467532,0.6465600775193798,0.3534399224806202,0.2088232693837857,income,balanced,0.1,x1,LR,emp,noisy
15,0.18092512192374427,0.16523942437070327,0.18092512192374433,0.2265591867429681,0.5477166652236888,0.18092512192374433,0.7458987070066949,0.6839964408287784,0.6988311688311688,0.6697784416231019,0.3302215583768982,0.20107517558310933,income,balanced,0.1,x1,LR,emp,ground
16,0.011267034851940527,0.13875710021501844,0.13875710021501844,0.09125314704748144,0.7878250934781673,0.011267034851940472,0.778197986405683,0.7353012929982923,0.7964063945038975,0.6829047241418376,0.31709527585816244,0.14348230912476723,income,balanced,0.1,x1,Reduction,emp,fair_clean
17,0.01575846064766112,0.0005148019826395622,0.015758460647661066,0.09125314704748144,0.7878250934781673,0.015758460647661066,0.7298001737619462,0.6625390949128742,0.6856916369401506,0.6408989874042974,0.35910101259570265,0.2074287208998169,income,balanced,0.1,x1,Reduction,emp,emp_clean
18,0.0038999557017166397,0.00630147217311966,0.00630147217311966,0.09125314704748144,0.7878250934781673,0.0038999557017166397,0.7217253539121992,0.6559241706161137,0.6856916369401506,0.6286337209302325,0.37136627906976744,0.21032623110246662,income,balanced,0.1,x1,Reduction,emp,noisy
19,0.04333266502206978,0.02894885714268483,0.04333266502206978,0.09125314704748144,0.7878250934781673,0.04333266502206978,0.7446210456380641,0.6797410754342114,0.7006209538908706,0.6600697037590242,0.33993029624097587,0.19647966704240008,income,balanced,0.1,x1,Reduction,emp,ground
