,FNR_diff,FPR_diff,equalized_odds,demographic_parity,demographic_parity_ratio,Equal_Opportunity,accuracy,f1_score,precision,recall,FNR,FPR,name,noise,level,fold,model,label_type,eval_type
0,0.04407656531977849,0.11267214543008974,0.11267214543008974,0.08495351045674787,0.8295796147932958,0.04407656531977855,0.7614861757039915,0.7413688002216681,0.7460405978139638,0.7367551492455117,0.2632448507544884,0.21710526315789475,income,bias,0.1,x1,LR,fair,fair_clean
1,0.004200391535556458,0.01983237407654531,0.01983237407654531,0.08495351045674787,0.8295796147932958,0.004200391535556514,0.7258649767465631,0.6914404049700874,0.6703100602275263,0.7139463055357567,0.2860536944642433,0.26513588662660326,income,bias,0.1,x1,LR,fair,emp_clean
2,0.017636175656875697,0.029035650332098206,0.029035650332098206,0.08495351045674787,0.8295796147932958,0.017636175656875697,0.7174835181683447,0.6849783451105539,0.6703100602275263,0.7003029596830576,0.29969704031694244,0.2690942193900774,income,bias,0.1,x1,LR,fair,noisy
3,0.028603635957764106,0.029172338383951057,0.029172338383951057,0.08495351045674787,0.8295796147932958,0.02860363595776405,0.7294424285787295,0.6885882352941176,0.6527994646442115,0.7285287528005975,0.2714712471994025,0.2699210959854331,income,bias,0.1,x1,LR,fair,ground
4,0.022396929870855287,0.013449779498089759,0.022396929870855287,0.03615205036667141,0.9183942201527933,0.022396929870855287,0.7325088158634435,0.6994027107741787,0.7307092283691348,0.670668575834343,0.329331424165657,0.2139588100686499,income,bias,0.1,x1,Reduction,fair,fair_clean
5,0.009299208791839986,0.056900298227384766,0.056900298227384766,0.03615205036667141,0.9183942201527933,0.009299208791839986,0.7078243982214953,0.6587069428690825,0.6620664826593063,0.6553813257305773,0.34461867426942266,0.25257870661045834,income,bias,0.1,x1,Reduction,fair,emp_clean
6,0.010809411157628845,0.04950879390231164,0.04950879390231164,0.03615205036667141,0.9183942201527933,0.01080941115762879,0.699442939643277,0.6523204256577003,0.6620664826593063,0.6428571428571429,0.35714285714285715,0.25634956759217115,income,bias,0.1,x1,Reduction,fair,noisy
7,0.037485544324022124,0.05106282503689502,0.05106282503689502,0.03615205036667141,0.9183942201527933,0.03748554432402207,0.7154903664332806,0.6598643612146392,0.6480259210368414,0.6721433905899925,0.3278566094100075,0.2543137084886846,income,bias,0.1,x1,Reduction,fair,ground
8,0.04407656531977849,0.11359978921487637,0.11359978921487637,0.08549253589874872,0.8284983066405412,0.04407656531977855,0.7617417079777176,0.7415742793791574,0.7464568686530522,0.7367551492455117,0.2632448507544884,0.21662852784134248,income,bias,0.1,x1,Reweight,fair,fair_clean
9,0.004200391535556458,0.020656368802979053,0.020656368802979053,0.08549253589874872,0.8284983066405412,0.004200391535556514,0.7261205090202892,0.6916393348293918,0.6706840754380091,0.7139463055357567,0.2860536944642433,0.26468741591174094,income,bias,0.1,x1,Reweight,fair,emp_clean
10,0.017636175656875697,0.029859645058531947,0.029859645058531947,0.08549253589874872,0.8284983066405412,0.017636175656875697,0.7177390504420709,0.6851735735051018,0.6706840754380091,0.7003029596830576,0.29969704031694244,0.2686390532544379,income,bias,0.1,x1,Reweight,fair,noisy
11,0.028603635957764106,0.0299963331103848,0.0299963331103848,0.08549253589874872,0.8284983066405412,0.02860363595776405,0.7296979608524556,0.6887908208296558,0.6531637094074322,0.7285287528005975,0.2714712471994025,0.2694875574438568,income,bias,0.1,x1,Reweight,fair,ground
12,0.08207666819392151,0.2655110847791451,0.2655110847791451,0.2265591867429681,0.5477166652236888,0.08207666819392145,0.7780446670414474,0.7411645509267537,0.8075324675324675,0.6848771891177442,0.31512281088225574,0.14130434782608695,income,bias,0.1,x1,LR,emp,fair_clean
13,0.1565610924703596,0.1559100839310228,0.15656109247035954,0.2265591867429681,0.5477166652236888,0.15656109247035954,0.742423468084019,0.6873061173842908,0.7193506493506493,0.6579947731052507,0.3420052268947493,0.19382904296349449,income,bias,0.1,x1,LR,emp,emp_clean
14,0.13466009334683388,0.1652052616613101,0.1652052616613101,0.2265591867429681,0.5477166652236888,0.13466009334683382,0.7340420095058006,0.68038324530156,0.7193506493506493,0.6454206478676299,0.3545793521323701,0.19672280382339555,income,bias,0.1,x1,LR,emp,noisy
15,0.18092512192374427,0.16523942437070327,0.18092512192374433,0.2265591867429681,0.5477166652236888,0.18092512192374433,0.7458987070066949,0.6839964408287784,0.6988311688311688,0.6697784416231019,0.3302215583768982,0.20107517558310933,income,bias,0.1,x1,LR,emp,ground
16,0.05526397970901681,0.1194708390863746,0.1194708390863746,0.08416193763634339,0.8081704318459336,0.05526397970901675,0.7695609955537385,0.7329266125688563,0.7927985648385444,0.6814627161581672,0.3185372838418328,0.1541762013729977,income,bias,0.1,x1,Reduction,emp,fair_clean
17,0.0035424873516783917,0.01903166721523969,0.01903166721523969,0.08416193763634339,0.8081704318459336,0.0035424873516783917,0.7339397965963101,0.6790777955862409,0.7057919015889288,0.654312188168211,0.34568781183178904,0.20593775226477712,income,bias,0.1,x1,Reduction,emp,emp_clean
18,0.016466555977009467,0.02624593298189634,0.02624593298189634,0.08416193763634339,0.8081704318459336,0.01646655597700941,0.7255583380180917,0.672281215671915,0.7057919015889288,0.6418084362619436,0.3581915637380564,0.20901228948566228,income,bias,0.1,x1,Reduction,emp,noisy
19,0.03188361462692213,0.024876559106581653,0.03188361462692213,0.08416193763634339,0.8081704318459336,0.03188361462692213,0.7418101906270762,0.6810203308498548,0.6910558687852384,0.6712720936021906,0.3287279063978093,0.2090522847481141,income,bias,0.1,x1,Reduction,emp,ground
