,est_acc,est_eop,name,noise,level,fold,model,eval_type
0,0.8148147976472648,0.5908896753603865,adult,flip,0.1,x1,LR,fair
1,0.8234304787113544,0.40958919067015287,adult,flip,0.1,x1,LR,emp
2,0.8183616866291692,0.3102049940342838,adult,flip,0.1,x1,Reduction,fair
3,0.8048453075290463,0.04788815921500971,adult,flip,0.1,x1,Reduction,emp
4,0.8400831460723073,0.3487032785208947,adult,flip,0.1,x1,Reweight,fair
5,0.8311466385331293,0.054024131180403834,adult,flip,0.1,x1,Reweight,emp
6,0.8093144399218049,0.6117960819429152,adult,flip,0.1,x3,LR,fair
7,0.8166593071163059,0.4529654952819989,adult,flip,0.1,x3,LR,emp
8,0.8119868583575041,0.37043003293097343,adult,flip,0.1,x3,Reduction,fair
9,0.7962190758477441,0.08303225086598298,adult,flip,0.1,x3,Reduction,emp
10,0.8309457133139457,0.38577003393489256,adult,flip,0.1,x3,Reweight,fair
11,0.8220269190361729,0.04881113530254043,adult,flip,0.1,x3,Reweight,emp
12,0.8061950212792791,0.5762899990216575,adult,flip,0.1,x4,LR,fair
13,0.8189032458468345,0.38878046322083903,adult,flip,0.1,x4,LR,emp
14,0.8166460882689226,0.3108090815251389,adult,flip,0.1,x4,Reduction,fair
15,0.8045910208470902,0.0641208890304904,adult,flip,0.1,x4,Reduction,emp
16,0.8280241266073735,0.3677264026309668,adult,flip,0.1,x4,Reweight,fair
17,0.8197273870787297,0.03391194170546965,adult,flip,0.1,x4,Reweight,emp
18,0.8139482738623769,0.5636803411897975,adult,flip,0.1,x5,LR,fair
19,0.8233527567254956,0.32299759045631504,adult,flip,0.1,x5,LR,emp
20,0.8116266262079812,0.3832450234174921,adult,flip,0.1,x5,Reduction,fair
21,0.7970217370045254,0.05552110635939295,adult,flip,0.1,x5,Reduction,emp
22,0.8304289075851284,0.41694581664061015,adult,flip,0.1,x5,Reweight,fair
23,0.8213819911852115,0.03995730958381626,adult,flip,0.1,x5,Reweight,emp
24,0.8171251207689469,0.6599391035815219,adult,flip,0.1,x6,LR,fair
25,0.8283812298647673,0.4498087527026251,adult,flip,0.1,x6,LR,emp
26,0.8161932627175211,0.4653196952749223,adult,flip,0.1,x6,Reduction,fair
27,0.7998596016041873,0.15842378488412423,adult,flip,0.1,x6,Reduction,emp
28,0.8362933869337241,0.49216183794177554,adult,flip,0.1,x6,Reweight,fair
29,0.827153999334136,0.111745361667144,adult,flip,0.1,x6,Reweight,emp
30,0.8113758367908259,0.6020424206879174,adult,flip,0.1,x7,LR,fair
31,0.8210383699373065,0.42792277339354157,adult,flip,0.1,x7,LR,emp
32,0.8242176589781424,0.3243893745872838,adult,flip,0.1,x7,Reduction,fair
33,0.8116815500442148,0.033318602213114334,adult,flip,0.1,x7,Reduction,emp
34,0.8328665190711706,0.36187235125013617,adult,flip,0.1,x7,Reweight,fair
35,0.8236191926050274,0.03899553689585822,adult,flip,0.1,x7,Reweight,emp
36,0.8078354845305832,0.6147260678559174,adult,flip,0.1,x8,LR,fair
37,0.8270260844963256,0.4259305979886734,adult,flip,0.1,x8,LR,emp
38,0.8124491370515999,0.38068829852416536,adult,flip,0.1,x8,Reduction,fair
39,0.8087182691683485,0.042451971977516545,adult,flip,0.1,x8,Reduction,emp
40,0.8268544700534981,0.46745746364742746,adult,flip,0.1,x8,Reweight,fair
41,0.828958754026647,0.11257014218501693,adult,flip,0.1,x8,Reweight,emp
42,0.8160943656932685,0.5921886679352728,adult,flip,0.1,x9,LR,fair
43,0.8210099046125428,0.3672087317890227,adult,flip,0.1,x9,LR,emp
44,0.8190367672195521,0.3610294981160461,adult,flip,0.1,x9,Reduction,fair
45,0.8051673359025505,0.04662583553731586,adult,flip,0.1,x9,Reduction,emp
46,0.8351623616715184,0.3914487884804037,adult,flip,0.1,x9,Reweight,fair
47,0.8237021536784548,0.0627739700931419,adult,flip,0.1,x9,Reweight,emp
48,0.8020144144543223,0.5909699591671779,adult,flip,0.1,x10,LR,fair
49,0.8145736666065047,0.39951090249546556,adult,flip,0.1,x10,LR,emp
50,0.8047134472669905,0.3829603331059326,adult,flip,0.1,x10,Reduction,fair
51,0.7921788454703459,0.030864193954554905,adult,flip,0.1,x10,Reduction,emp
52,0.8256869373644566,0.39876406548028853,adult,flip,0.1,x10,Reweight,fair
53,0.8182555140906657,0.04691175918640336,adult,flip,0.1,x10,Reweight,emp
