,metric,model,ground,noisy,fair_clean,emp_clean
0,accuracy,LR_noisy,0.8335123404589172,0.8069467746279229,0.8199684538838667,0.8284448671883426
1,accuracy,Reweight_noisy,0.8249746152494082,0.800681720112945,0.8223024364834313,0.8247595332374271
2,accuracy,Reduction_noisy,0.8171736890266212,0.7965661467004728,0.814071647987061,0.8192312211309755
3,accuracy,LR_fair,0.8320562360666266,0.8037692523193387,0.8181389180128736,0.8280636567039942
4,accuracy,Reweight_fair,0.828855751447578,0.8026054338652306,0.8194643317354725,0.8281929577337848
5,accuracy,Reduction_fair,0.8017159849205807,0.778245830554219,0.7917750420356144,0.8014734381648558
6,accuracy,LR_emp,0.831992122051993,0.8037988486714308,0.8180796379598959,0.8283680905764111
7,accuracy,Reweight_emp,0.8283527673150026,0.8022478894446964,0.8194155623231462,0.8280455948593805
8,accuracy,Reduction_emp,0.8023089326032986,0.7788144972574663,0.7923889926365365,0.8023702822271289
9,Equal_Opportunity,LR_noisy,0.07207188491945817,0.1698260814024119,0.06637775289429151,0.0472399075164701
10,Equal_Opportunity,Reweight_noisy,0.21217497759689405,0.06644633182464482,0.12191577335932594,0.1547443767279467
11,Equal_Opportunity,Reduction_noisy,0.22131885319681316,0.04949335809307502,0.12516785486941645,0.1483906066050255
12,Equal_Opportunity,LR_fair,0.08979577111915701,0.20436738479690614,0.11094887075197618,0.082148750855519
13,Equal_Opportunity,Reweight_fair,0.10323231462509015,0.14336972558005123,0.048017160614595274,0.051693248657323186
14,Equal_Opportunity,Reduction_fair,0.09604610372103876,0.12832924437922152,0.06065917567358211,0.05455858782871801
15,Equal_Opportunity,LR_emp,0.08575243522033431,0.2063485661042208,0.11255605183193444,0.08213230103113087
16,Equal_Opportunity,Reweight_emp,0.10228299994589932,0.14452670178150726,0.04628155715356818,0.050847039779205336
17,Equal_Opportunity,Reduction_emp,0.0975804589072555,0.12941261931502854,0.05950665934695172,0.054835112683952233
18,equalized_odds,LR_noisy,0.07303279259605223,0.1698260814024119,0.10048839062443918,0.061395623886878435
19,equalized_odds,Reweight_noisy,0.21217497759689405,0.06644633182464482,0.12191577335932594,0.1547443767279467
20,equalized_odds,Reduction_noisy,0.22131885319681316,0.04986513450125081,0.1275865625570383,0.1483906066050255
21,equalized_odds,LR_fair,0.09949754496122898,0.20436738479690614,0.13931056256925076,0.09533344274591901
22,equalized_odds,Reweight_fair,0.10396622229038169,0.14336972558005123,0.0861333537336129,0.05902025125930847
23,equalized_odds,Reduction_fair,0.09783063133242227,0.1285028123224855,0.0673336728043625,0.05884940719801671
24,equalized_odds,LR_emp,0.09809047390946735,0.2063485661042208,0.1394996590583453,0.09465775832701087
25,equalized_odds,Reweight_emp,0.10298021222792626,0.14452670178150726,0.0858391428045029,0.05780769225109136
26,equalized_odds,Reduction_emp,0.09927576013806984,0.12957750886112934,0.06626252867542229,0.058911391084786005
