,metric,model,ground,noisy,fair_clean,emp_clean
27,accuracy,LR_noisy,0.7610025543169541,0.7495163790105454,0.8263902111422835,0.8080525200305673
28,accuracy,Reweight_noisy,0.7978870024041961,0.7556278520125619,0.815486942129558,0.8414359847887634
29,accuracy,Reduction_noisy,0.7930344036922176,0.7465369617810513,0.8132751684332893,0.8308095434592211
30,accuracy,LR_fair,0.8219705324079708,0.7471470047642018,0.8253816765100155,0.8374229806973856
31,accuracy,Reweight_fair,0.8222288565395718,0.7474379060254827,0.8258336965918208,0.8380047633679487
32,accuracy,Reduction_fair,0.8021855144651389,0.744237505777428,0.8093478822940064,0.8295668500369306
33,accuracy,LR_emp,0.8217657404313069,0.7467982540345912,0.8247759833479054,0.8378276301883147
34,accuracy,Reweight_emp,0.8222722048673845,0.7471206790288768,0.8253128962831143,0.8383649674599936
35,accuracy,Reduction_emp,0.8020946662603095,0.743742460955387,0.8092213972702152,0.8297961242427009
36,Equal_Opportunity,LR_noisy,0.6847578192490891,0.22528088895260606,0.5940866273601506,0.6116442438421792
37,Equal_Opportunity,Reweight_noisy,0.33212278204658957,0.02528948401186787,0.14119800900297194,0.281172735470927
38,Equal_Opportunity,Reduction_noisy,0.3882036009337323,0.030997057703101495,0.22808104865897966,0.40508694638102954
39,Equal_Opportunity,LR_fair,0.12606228343799034,0.2713386258663282,0.16330224481951308,0.12565676382373003
40,Equal_Opportunity,Reweight_fair,0.10613530927521585,0.27256459034303504,0.1491934388439776,0.09790290307067755
41,Equal_Opportunity,Reduction_fair,0.10595468455370942,0.17365023010321373,0.07449621252604328,0.08734829107006128
42,Equal_Opportunity,LR_emp,0.12575997854583185,0.27105825035956754,0.1628507953495516,0.12354507327427038
43,Equal_Opportunity,Reweight_emp,0.10290704394633501,0.27639428578380826,0.15289799370729854,0.09537755358468093
44,Equal_Opportunity,Reduction_emp,0.10540337600716773,0.174441780572115,0.07620996750514719,0.08520600070358132
45,equalized_odds,LR_noisy,0.6847578192490891,0.22715226054929744,0.5959619531728577,0.6116442438421792
46,equalized_odds,Reweight_noisy,0.33212278204658957,0.025318489525760622,0.14119800900297194,0.281172735470927
47,equalized_odds,Reduction_noisy,0.3882036009337323,0.03556418345963018,0.22808104865897966,0.40508694638102954
48,equalized_odds,LR_fair,0.1330942780479578,0.2719120984326704,0.1812320909517621,0.14277823301916873
49,equalized_odds,Reweight_fair,0.1078029937917653,0.27256459034303504,0.1604847734459287,0.12042803440199015
50,equalized_odds,Reduction_fair,0.11216961897963519,0.17365023010321373,0.07638073040633947,0.09364502511795039
51,equalized_odds,LR_emp,0.13244037342530093,0.27160304929759266,0.17988414917518816,0.13981046900993713
52,equalized_odds,Reweight_emp,0.104491344237057,0.27639428578380826,0.16362476157915207,0.11808932330574451
53,equalized_odds,Reduction_emp,0.11130756371179722,0.174441780572115,0.07800025949142855,0.09118789804907597
