,FNR_diff,FPR_diff,equalized_odds,demographic_parity,demographic_parity_ratio,Equal_Opportunity,accuracy,f1_score,precision,recall,FNR,FPR,name,noise,level,fold,model,eval_type
0,0.18670674682698732,0.967551622418879,0.967551622418879,0.26612661266126614,0.7338733873387339,0.1867067468269873,0.8537784149088675,0.9149595045259648,0.9612112112112112,0.8729545454545454,0.12704545454545454,0.32091097308488614,COMPAS,balanced,0.3,x1,LR,fair_clean
1,0.10957408081543502,1.0,1.0,0.26612661266126614,0.7338733873387339,0.10957408081543507,0.9186975220151546,0.9515676467000121,0.975975975975976,0.9283503927636277,0.07164960723637229,0.14076246334310852,COMPAS,balanced,0.3,x1,LR,emp_clean
2,0.15220700152207,0.4309838472834068,0.4309838472834068,0.26612661266126614,0.7338733873387339,0.15220700152207,0.7601884087651034,0.8422045546422314,0.7820320320320321,0.9124087591240876,0.08759124087591241,0.5973936899862826,COMPAS,balanced,0.3,x1,LR,noisy
3,0.14915966386554622,0.9664570230607966,0.9664570230607966,0.26612661266126614,0.7338733873387339,0.14915966386554624,0.8824493139463445,0.9305925030229746,0.9629629629629629,0.9003275620028077,0.09967243799719233,0.24302134646962234,COMPAS,balanced,0.3,x1,LR,ground
4,0.0906896771257071,0.4854351032448378,0.4854351032448378,0.13421367943245943,0.8454448713816404,0.09068967712570708,0.840057341798075,0.9046747223239351,0.9770630108093857,0.8422727272727273,0.15772727272727272,0.18012422360248448,COMPAS,balanced,0.3,x1,Reduction,fair_clean
5,0.0018427004775498496,0.5607935153583617,0.5607935153583617,0.13421367943245943,0.8454448713816404,0.0018427004775497524,0.8939176735613352,0.9352014010507881,0.9854996045346691,0.8897881456796001,0.1102118543203999,0.08064516129032258,COMPAS,balanced,0.3,x1,Reduction,emp_clean
6,0.04079022022908514,0.007250367107195288,0.04079022022908518,0.13421367943245943,0.8454448713816404,0.04079022022908518,0.7354085603112841,0.8210030479357163,0.7811758502504613,0.8651094890510949,0.1348905109489051,0.5692729766803841,COMPAS,balanced,0.3,x1,Reduction,noisy
7,0.04337687119981984,0.5552696779111874,0.5552696779111874,0.13421367943245943,0.8454448713816404,0.04337687119981992,0.8625844767560925,0.916821618941366,0.9749538623780648,0.8652316331305568,0.13476836686944316,0.15599343185550082,COMPAS,balanced,0.3,x1,Reduction,ground
8,0.0,0.0,0.0,0.0,1.0,0.0,0.9010853983207044,0.947969406441883,0.9010853983207044,1.0,0.0,1.0,COMPAS,balanced,0.3,x1,Reweight,fair_clean
9,0.0,0.0,0.0,0.0,1.0,0.0,0.8603317632602908,0.9249229414354909,0.8603317632602908,1.0,0.0,1.0,COMPAS,balanced,0.3,x1,Reweight,emp_clean
10,0.0,0.0,0.0,0.0,1.0,0.0,0.7014130657382757,0.8245064997592682,0.7014130657382757,1.0,0.0,1.0,COMPAS,balanced,0.3,x1,Reweight,noisy
11,0.0,0.0,0.0,0.0,1.0,0.0,0.8752815891869752,0.9334935022387244,0.8752815891869752,1.0,0.0,1.0,COMPAS,balanced,0.3,x1,Reweight,ground
12,0.18778877887788778,0.9435736677115988,0.9435736677115988,0.2597790385189609,0.7402209614810391,0.1877887788778878,0.8464373464373465,0.910884030418251,0.9549078226208271,0.8707405724670604,0.12925942753293956,0.3755186721991701,COMPAS,balanced,0.3,x2,LR,fair_clean
13,0.10859403092412802,1.0,1.0,0.2597790385189609,0.7402209614810391,0.108594030924128,0.9195331695331695,0.952300036412186,0.9773293472845043,0.9285207100591716,0.0714792899408284,0.13808801213960548,COMPAS,balanced,0.3,x2,LR,emp_clean
14,0.15439672801635992,0.4077530509691314,0.4077530509691314,0.2597790385189609,0.7402209614810391,0.15439672801635995,0.7506142506142506,0.835716212570812,0.7717987045341306,0.9111764705882353,0.0888235294117647,0.6172506738544474,COMPAS,balanced,0.3,x2,LR,noisy
15,0.14831538728725252,0.9425531914893617,0.9425531914893617,0.2597790385189609,0.7402209614810391,0.14831538728725246,0.8785831285831286,0.9284594040294365,0.9586447433981067,0.9001169590643275,0.09988304093567252,0.27257799671592775,COMPAS,balanced,0.3,x2,LR,ground
16,0.08979110739062246,0.43437121372386867,0.43437121372386867,0.11811236374706624,0.8624412152111178,0.08979110739062246,0.8361998361998362,0.9024390243902439,0.9741969457609269,0.8405270331667424,0.15947296683325762,0.2033195020746888,COMPAS,balanced,0.3,x2,Reduction,fair_clean
17,0.01121206325869746,0.5147229531032348,0.5147229531032348,0.11811236374706624,0.8624412152111178,0.011212063258697502,0.892915642915643,0.934812414308862,0.9873617693522907,0.8875739644970414,0.11242603550295859,0.07283763277693475,COMPAS,balanced,0.3,x2,Reduction,emp_clean
18,0.034590633833534445,0.07648130763708649,0.07648130763708649,0.11811236374706624,0.8624412152111178,0.034590633833534445,0.723996723996724,0.8127257571547652,0.7701421800947867,0.8602941176470589,0.13970588235294118,0.5882749326145552,COMPAS,balanced,0.3,x2,Reduction,noisy
19,0.04014919817550466,0.4656053880300015,0.4656053880300015,0.11811236374706624,0.8624412152111178,0.04014919817550466,0.8609746109746109,0.9158924811098723,0.973407056345445,0.8647953216374269,0.1352046783625731,0.16584564860426929,COMPAS,balanced,0.3,x2,Reduction,ground
20,0.0,0.0,0.0,0.0,1.0,0.0,0.9013104013104013,0.9480939048029291,0.9013104013104013,1.0,0.0,1.0,COMPAS,balanced,0.3,x2,Reweight,fair_clean
21,0.0,0.0,0.0,0.0,1.0,0.0,0.8650696150696151,0.9276539686024811,0.8650696150696151,1.0,0.0,1.0,COMPAS,balanced,0.3,x2,Reweight,emp_clean
