,FNR_diff,FPR_diff,equalized_odds,demographic_parity,demographic_parity_ratio,Equal_Opportunity,accuracy,f1_score,precision,recall,FNR,FPR,name,noise,level,fold,weights,eval_type
0,0.015124667638564591,0.07285115303983225,0.07285115303983225,0.02435159644996754,0.9737517562604662,0.01512466763856457,0.8761007577309031,0.9306431273644389,0.9123398516520567,0.9496958352831072,0.05030416471689284,0.6403940886699507,COMPAS,balanced,0.3,x1,fair,ground
1,0.046265897049934224,0.006861063464837058,0.046265897049934224,0.0786005052118115,0.760095710740872,0.046265897049934224,0.21441736637313127,0.3331015299026426,0.6481732070365359,0.22414599906410856,0.7758540009358914,0.8538587848932676,COMPAS,balanced,0.3,x1,emp,ground
2,0.0030857777543340723,0.08300933721108217,0.08300933721108217,0.00426341471954772,0.9954647667397742,0.0030857777543340514,0.8718263718263718,0.929281518300949,0.8986235525453353,0.9621052631578947,0.037894736842105266,0.7619047619047619,COMPAS,balanced,0.3,x2,fair,ground
3,0.013716807113262619,0.05936017143731831,0.05936017143731831,0.03692482465960473,0.8810949636682536,0.013716807113262619,0.21437346437346438,0.33095030514385354,0.65,0.22198830409356726,0.7780116959064327,0.8390804597701149,COMPAS,balanced,0.3,x2,emp,ground
4,0.0007584061131127966,0.06890981260961881,0.06890981260961881,0.003907583891749722,0.995908769867907,0.0007584061131127307,0.877739094818759,0.9331092436974789,0.8952913351967319,0.9742629854936827,0.02573701450631727,0.7996715927750411,COMPAS,balanced,0.3,x3,fair,ground
5,0.04506030324584209,0.0676636204190898,0.0676636204190898,0.07090500342617079,0.7861108498303458,0.04506030324584212,0.21462215850911326,0.33639037895829726,0.6458471760797342,0.2274216190921853,0.7725783809078147,0.8752052545155994,COMPAS,balanced,0.3,x3,emp,ground
6,0.005682080991697307,0.08569934982193617,0.08569934982193617,0.021800443116591794,0.9759556121590691,0.005682080991697314,0.8722358722358723,0.9277108433734939,0.9189809501950884,0.9366081871345029,0.06339181286549708,0.5796387520525451,COMPAS,balanced,0.3,x4,fair,ground
7,0.031694477208076055,0.001045512464468934,0.031694477208076055,0.06994338795712962,0.7828563640038162,0.031694477208076055,0.21764946764946766,0.33374019180470793,0.6554794520547945,0.223859649122807,0.776140350877193,0.825944170771757,COMPAS,balanced,0.3,x4,emp,ground
8,0.0014481936186823835,0.15833333333333333,0.15833333333333333,0.007784031087884502,0.9918736783960712,0.0014481936186823141,0.8732336678271554,0.930752880635418,0.8917470525187567,0.9733270940570894,0.02667290594291062,0.8292282430213465,COMPAS,balanced,0.3,x5,fair,ground
9,0.044947684373211394,0.05663082437275979,0.05663082437275979,0.06524052910660616,0.7987908915403735,0.04494768437321134,0.216874872004915,0.3354188390684741,0.652027027027027,0.22578380907814694,0.7742161909218531,0.8456486042692939,COMPAS,balanced,0.3,x5,emp,ground
10,0.0033105409297567515,0.167332944266122,0.167332944266122,0.004026322741021993,0.9957420860730387,0.0033105409297568,0.8834732746262544,0.9359594822734946,0.9017566688353936,0.9728591483387927,0.0271408516612073,0.7438423645320197,COMPAS,balanced,0.3,x6,fair,ground
11,0.04050590274539412,0.07758972862562008,0.07758972862562008,0.056570836558972326,0.8213295363574108,0.04050590274539409,0.2131886135572394,0.3294938917975567,0.6483516483516484,0.22087037903603182,0.7791296209639682,0.8407224958949097,COMPAS,balanced,0.3,x6,emp,ground
12,0.0007337053044714189,0.0264021651502937,0.0264021651502937,0.002097583219334176,0.9978777393310266,0.000733705304471477,0.8744881244881245,0.9326299593361908,0.8795605306799337,0.9925146198830409,0.007485380116959065,0.9540229885057471,COMPAS,balanced,0.3,x7,fair,ground
13,0.031619216716356924,0.05669123574801338,0.05669123574801338,0.046185415132063534,0.8485768500948767,0.031619216716356896,0.19942669942669944,0.313312258517738,0.6286116983791402,0.20865497076023393,0.7913450292397661,0.8653530377668309,COMPAS,balanced,0.3,x7,emp,ground
14,0.008072481460849497,0.14729499146843317,0.14729499146843317,0.019714284715676933,0.9783620279580783,0.00807248146084949,0.8855211959860741,0.9354279773593622,0.9237964864248231,0.9473561066916237,0.05264389330837623,0.548440065681445,COMPAS,balanced,0.3,x8,fair,ground
15,0.048041289858679725,0.08310749774164405,0.08310749774164405,0.07786083243916236,0.7619296413433846,0.0480412898586797,0.21052631578947367,0.3296817944705268,0.6418415707515234,0.2218062704726252,0.7781937295273749,0.8686371100164204,COMPAS,balanced,0.3,x8,emp,ground
16,0.004480286738351255,0.11634777284555342,0.11634777284555342,0.00426277997236757,0.995479483093564,0.0044802867383512135,0.8824733824733825,0.9353166553977913,0.9023700804522722,0.9707602339181286,0.029239766081871343,0.7372742200328407,COMPAS,balanced,0.3,x9,fair,ground
17,0.026321684587813587,0.10809735190570957,0.10809735190570957,0.0431726634104575,0.8609342092066994,0.026321684587813615,0.21273546273546273,0.32838427947598253,0.6482758620689655,0.2198830409356725,0.7801169590643274,0.8374384236453202,COMPAS,balanced,0.3,x9,emp,ground
18,0.007289157690790131,0.02187363834422662,0.02187363834422662,0.012446065646441573,0.9870390938179538,0.007289157690790082,0.8795822240425968,0.934095494283793,0.8965146299483648,0.9749649040711278,0.02503509592887225,0.7898193760262726,COMPAS,balanced,0.3,x10,fair,ground
19,0.04516549180343954,0.041612200435729885,0.045165491803439595,0.06514692366211633,0.7930737887148386,0.045165491803439595,0.20172025394224863,0.3170988086895585,0.6311018131101813,0.2117454375292466,0.7882545624707534,0.8686371100164204,COMPAS,balanced,0.3,x10,emp,ground
