,FNR_diff,FPR_diff,equalized_odds,demographic_parity,demographic_parity_ratio,Equal_Opportunity,accuracy,f1_score,precision,recall,FNR,FPR,name,noise,level,fold,weights,eval_type
0,0.1380578255029528,0.006791086745202027,0.13805782550295287,0.008385884189552828,0.9533535191956124,0.13805782550295287,0.8148034398034398,0.5664989216391085,0.6948853615520282,0.47815533980582525,0.5218446601941747,0.07113486842105263,adult,balanced,0.1,x1,fair,fair_clean
1,0.2828974313966415,0.021870630239276566,0.28289743139664153,0.008385884189552828,0.9533535191956124,0.28289743139664153,0.8273955773955773,0.5873715124816448,0.7054673721340388,0.5031446540880503,0.4968553459119497,0.06785859406745226,adult,balanced,0.1,x1,fair,emp_clean
2,0.09387230514096184,0.02915655119277792,0.0938723051409619,0.008385884189552828,0.9533535191956124,0.0938723051409619,0.8083538083538083,0.5445255474452556,0.6578483245149912,0.46450809464508097,0.5354919053549191,0.07908683245006115,adult,balanced,0.1,x1,fair,noisy
3,0.329227761485826,0.050897373325051024,0.329227761485826,0.008385884189552828,0.9533535191956124,0.329227761485826,0.8283169533169533,0.5862324204293116,0.6984126984126984,0.5051020408163265,0.49489795918367346,0.0691747572815534,adult,balanced,0.1,x1,fair,ground
4,0.10879989194299994,0.04852978968264313,0.108799891943,0.09185958137337469,0.5947807176513229,0.108799891943,0.8151105651105651,0.5887978142076502,0.6734375,0.5230582524271845,0.47694174757281554,0.0859375,adult,balanced,0.1,x1,emp,fair_clean
5,0.009712714294072888,0.03208052071577124,0.03208052071577124,0.09185958137337469,0.5947807176513229,0.009712714294072944,0.8283169533169533,0.6104529616724738,0.684375,0.5509433962264151,0.4490566037735849,0.08208045509955303,adult,balanced,0.1,x1,emp,emp_clean
6,0.16723880597014923,0.025650176627076998,0.16723880597014928,0.09185958137337469,0.5947807176513229,0.16723880597014928,0.8086609336609336,0.5682605682605684,0.640625,0.5105853051058531,0.48941469489414696,0.09376273950264982,adult,balanced,0.1,x1,emp,noisy
7,0.018523949169110432,0.005535096281835114,0.018523949169110487,0.09185958137337469,0.5947807176513229,0.018523949169110487,0.8347665847665847,0.6221910112359549,0.6921875,0.5650510204081632,0.43494897959183676,0.0796925566343042,adult,balanced,0.1,x1,emp,ground
8,0.006371205198497321,0.014213745951781223,0.014213745951781223,0.020812908496732008,0.8906065485775632,0.006371205198497321,0.8012899262899262,0.5547143840330351,0.6750418760469011,0.47079439252336447,0.5292056074766355,0.08083333333333333,adult,balanced,0.1,x2,fair,fair_clean
9,0.21083124382645696,0.00666693235711073,0.2108312438264569,0.020812908496732008,0.8906065485775632,0.2108312438264569,0.827088452088452,0.5987170349251604,0.7035175879396985,0.5210918114143921,0.47890818858560796,0.07224489795918368,adult,balanced,0.1,x2,fair,emp_clean
