,est_acc,est_eop
43,0.8122006781612819,"event    group_id
label=0  0           0.153009
         1           0.118334
label=1  0           0.343069
         1           1.000183
dtype: float64"
44,0.799345990236701,"event    group_id
label=0  0           0.097534
         1           0.097534
label=1  0           0.266943
         1           0.266943
dtype: float64"
45,0.795784142615036,"event    group_id
label=0  0           0.061134
         1           0.047280
label=1  0           0.137073
         1           0.399622
dtype: float64"
46,0.8114280213037454,"event    group_id
label=0  0           0.112064
         1           0.112064
label=1  0           0.306711
         1           0.306711
dtype: float64"
47,0.8060890044931647,"event    group_id
label=0  0           0.059088
         1           0.045697
label=1  0           0.132483
         1           0.386242
dtype: float64"
48,0.8047297048720934,"event    group_id
label=0  0           0.149875
         1           0.149875
label=1  0           0.417286
         1           0.417286
dtype: float64"
49,0.8056921408005698,"event    group_id
label=0  0           0.123826
         1           0.094930
label=1  0           0.276143
         1           0.859747
dtype: float64"
50,0.8002839647639463,"event    group_id
label=0  0           0.080769
         1           0.080769
label=1  0           0.224878
         1           0.224878
dtype: float64"
51,0.7929322416251894,"event    group_id
label=0  0           0.041497
         1           0.031813
label=1  0           0.092542
         1           0.288122
dtype: float64"
52,0.8058559730058433,"event    group_id
label=0  0           0.114997
         1           0.114997
label=1  0           0.320178
         1           0.320178
dtype: float64"
53,0.7993280814040178,"event    group_id
label=0  0           0.069697
         1           0.053433
label=1  0           0.155431
         1           0.483921
dtype: float64"
54,0.8043559050840181,"event    group_id
label=0  0           0.169375
         1           0.169375
label=1  0           0.472846
         1           0.472846
dtype: float64"
55,0.8058135393781344,"event    group_id
label=0  0           0.138218
         1           0.106390
label=1  0           0.309041
         1           0.933333
dtype: float64"
56,0.7968684854663216,"event    group_id
label=0  0           0.086361
         1           0.086361
label=1  0           0.241096
         1           0.241096
dtype: float64"
57,0.787626171166359,"event    group_id
label=0  0           0.044808
         1           0.034490
label=1  0           0.100186
         1           0.302570
dtype: float64"
58,0.8079056561154788,"event    group_id
label=0  0           0.128367
         1           0.128367
label=1  0           0.358363
         1           0.358363
dtype: float64"
59,0.7999540931536329,"event    group_id
label=0  0           0.075134
         1           0.057833
label=1  0           0.167992
         1           0.507350
dtype: float64"
