,FNR_diff,FPR_diff,equalized_odds,demographic_parity,demographic_parity_ratio,Equal_Opportunity,accuracy,f1_score,precision,recall,FNR,FPR,name,noise,level,fold,model,label_type,eval_type
38,0.34082458894488965,0.10045857133785505,0.3408245889448897,0.17448597494553378,0.3207844696216789,0.3408245889448897,0.7963759213759214,0.5529332434254889,0.6327160493827161,0.49101796407185627,0.5089820359281437,0.09830648492358529,adult,balanced,0.1,x2,LR,emp,noisy
39,0.15203266465471327,0.07811978256045231,0.15203266465471332,0.17448597494553378,0.3207844696216789,0.15203266465471332,0.8341523341523341,0.6229050279329608,0.6882716049382716,0.5688775510204082,0.43112244897959184,0.08171521035598706,adult,balanced,0.1,x2,LR,emp,ground
40,0.19692354553761804,0.03908004615900039,0.19692354553761804,0.08801062091503267,0.6386582809224319,0.19692354553761804,0.788083538083538,0.5559845559845559,0.6189111747851003,0.5046728971962616,0.4953271028037383,0.11083333333333334,adult,balanced,0.1,x2,Reduction,emp,fair_clean
41,0.05335840741584985,0.015646794919239593,0.05335840741584985,0.08801062091503267,0.6386582809224319,0.05335840741584985,0.8157248157248157,0.601063829787234,0.6475644699140402,0.5607940446650124,0.4392059553349876,0.10040816326530612,adult,balanced,0.1,x2,Reduction,emp,emp_clean
42,0.23839130794018015,0.019613638906444186,0.23839130794018015,0.08801062091503267,0.6386582809224319,0.23839130794018015,0.7834766584766585,0.5401174168297456,0.5931232091690545,0.49580838323353293,0.5041916167664671,0.11730689797604296,adult,balanced,0.1,x2,Reduction,emp,noisy
43,0.03610864548198117,0.0015368438081371921,0.03610864548198123,0.08801062091503267,0.6386582809224319,0.03610864548198123,0.816953316953317,0.5978407557354927,0.6346704871060171,0.5650510204081632,0.43494897959183676,0.10315533980582524,adult,balanced,0.1,x2,Reduction,emp,ground
44,0.21118895319321762,0.08407266320060552,0.21118895319321762,0.12548679193899784,0.49150975929374435,0.21118895319321762,0.7985257985257985,0.5695538057742782,0.6497005988023952,0.5070093457943925,0.4929906542056075,0.0975,adult,balanced,0.1,x2,Reweight,emp,fair_clean
45,0.047393815059645905,0.06017888558041026,0.06017888558041026,0.12548679193899784,0.49150975929374435,0.047393815059645905,0.8286240786240786,0.6214382632293081,0.6856287425149701,0.5682382133995038,0.4317617866004963,0.08571428571428572,adult,balanced,0.1,x2,Reweight,emp,emp_clean
46,0.2573397780164698,0.06231913420279951,0.2573397780164698,0.12548679193899784,0.49150975929374435,0.2573397780164698,0.7933046683046683,0.5522288755821689,0.6212574850299402,0.49700598802395207,0.5029940119760479,0.10450227178851715,adult,balanced,0.1,x2,Reweight,emp,noisy
47,0.03446357772649267,0.040393481791200794,0.040393481791200794,0.12548679193899784,0.49150975929374435,0.03446357772649278,0.8292383292383292,0.6170798898071626,0.6706586826347305,0.5714285714285714,0.42857142857142855,0.0889967637540453,adult,balanced,0.1,x2,Reweight,emp,ground
48,0.04258624202091538,0.09714762696948522,0.09714762696948522,0.1020124696782154,0.5237265919875724,0.04258624202091532,0.831081081081081,0.6020260492040521,0.7038917089678511,0.5259165613147914,0.4740834386852086,0.07099391480730223,adult,balanced,0.1,x3,LR,fair,fair_clean
49,0.006564863707720858,0.04882789080298973,0.04882789080298973,0.1020124696782154,0.5237265919875724,0.006564863707720803,0.8316953316953317,0.6034732272069464,0.7055837563451777,0.527180783817952,0.47281921618204803,0.07058823529411765,adult,balanced,0.1,x3,LR,fair,emp_clean
50,0.12517133387052565,0.05908289241622575,0.12517133387052554,0.1020124696782154,0.5237265919875724,0.12517133387052554,0.8098894348894349,0.5537130497476567,0.649746192893401,0.4824120603015075,0.5175879396984925,0.08414634146341464,adult,balanced,0.1,x3,LR,fair,noisy
51,0.10550590229734613,0.04025330627667762,0.10550590229734624,0.1020124696782154,0.5237265919875724,0.10550590229734624,0.8332309582309583,0.6050909090909091,0.7038917089678511,0.5306122448979592,0.46938775510204084,0.07079288025889968,adult,balanced,0.1,x3,LR,fair,ground
52,0.05956301779166101,0.028946206630393156,0.059563017791661066,0.041653109686117795,0.7974102599222447,0.059563017791661066,0.8092751842751843,0.5617501764290755,0.6357827476038339,0.5031605562579013,0.4968394437420986,0.09249492900608519,adult,balanced,0.1,x3,Reduction,fair,fair_clean
53,0.03817610960468104,0.01269321030302685,0.0381761096046811,0.041653109686117795,0.7974102599222447,0.0381761096046811,0.8117321867321867,0.5673959068454483,0.6421725239616614,0.5082174462705437,0.4917825537294564,0.09087221095334685,adult,balanced,0.1,x3,Reduction,fair,emp_clean
54,0.07355934174565326,0.0011022927689594425,0.07355934174565332,0.041653109686117795,0.7974102599222447,0.07355934174565332,0.7923832923832924,0.5246132208157525,0.5958466453674122,0.4685929648241206,0.5314070351758794,0.10284552845528455,adult,balanced,0.1,x3,Reduction,fair,noisy
55,0.12740735200628256,0.01875446084948569,0.12740735200628245,0.041653109686117795,0.7974102599222447,0.12740735200628245,0.8095823095823096,0.5602836879432624,0.6309904153354633,0.5038265306122449,0.4961734693877551,0.09344660194174757,adult,balanced,0.1,x3,Reduction,fair,ground
56,0.05276381909547739,0.0751839745520143,0.0751839745520143,0.08236174371003038,0.5848142623455644,0.05276381909547734,0.8344594594594594,0.6010362694300518,0.725,0.5132743362831859,0.48672566371681414,0.06247464503042596,adult,balanced,0.1,x3,Reweight,fair,fair_clean
57,0.02069359212216354,0.02783099130375201,0.02783099130375201,0.08236174371003038,0.5848142623455644,0.020693592122163484,0.8356879606879607,0.6039970392301999,0.7285714285714285,0.515802781289507,0.48419721871049304,0.061663286004056794,adult,balanced,0.1,x3,Reweight,fair,emp_clean
58,0.10999426810324064,0.0382716049382716,0.10999426810324059,0.08236174371003038,0.5848142623455644,0.10999426810324059,0.8138820638820639,0.5530973451327434,0.6696428571428571,0.47110552763819097,0.5288944723618091,0.07520325203252033,adult,balanced,0.1,x3,Reweight,fair,noisy
59,0.11081610012091297,0.018056119235882725,0.11081610012091292,0.08236174371003038,0.5848142623455644,0.11081610012091292,0.8366093366093366,0.6041666666666666,0.725,0.5178571428571429,0.48214285714285715,0.06229773462783172,adult,balanced,0.1,x3,Reweight,fair,ground
